		Cpilot1	Cpilot2	NMQ_1	NMQ_2	NMQ_3	NMQ_4	NMQ_5	NMQ_6	R01	R02	R03	R04	R05	R06	R07	R08 (1)	R09	R10	R11	R12	R13	R14	R15	R16	R17	R18	R20	R21	R22	R23	R24	R25	R26	R28	R29	R30	R31	C001	C002	C003	C004	C005	C006	C007	C008	C009	C10	C011	C012	C013	C014	C015	C016	C017	C018	C019	C020	C021	P22	c023	C024	C025	C026
Trial072	BRAIN_1_PATH_Meningioma ax.png	0.602447848610245	0.6748836825307228	0.6734455637214496	0.5980893102174764	0.6627099535084846	0.7204919807435546	0.6442869705911096	0.7583012283427067	0.6215189887599035	0.5381447456422253	0.6135550610117362	0.6257018095854839	0.663000268107625	0.6067753856823025	0.6166945656271217	0.663655693363324	0.5930975079543369	0.6161820622959859	0.5479691658070314	0.6084284150559347	0.5953989007874121	0.5981616591985044	0.5699593875010454	0.6308255162177637	0.5822474254921806	0.6991662160549573	0.6479304081796595	0.6354761554320368	0.562400235423204	0.5833361947109265	0.7637259222222523	0.6013954355683783	0.647493874065922	0.767081663848905	0.5503668221976592	0.6374575687340135	0.5548408453219414	0.5796150939158412	0.6830454299367955	0.636497994244996	0.6323284957979597	0.5596240949892987	0.6136426542998162	0.568797445871602	0.583672267985172	0.5566825148571554	0.6898648062516021	0.7849988110463233	0.6151980633543862	0.6843036039230708	0.5732863349558349	0.5505428566569643	0.5638211220328833	0.5724029703200261	0.563657544361986	0.5621106136321854	0.5921862150395383	0.5836300137252621	0.5675698763595449	0.5827012512769036	0.5851004710166637	0.610732358907125	0.7167377473002859
Trial075	BRAIN_2_PATH_Mes tumour.png	0.5575804418689649	0.677336636104734	0.6776284103759717	0.5609750888633226	0.6240097131669947	0.654173094526818	0.6525489516781606	0.7684371168170367	0.6016025961076978	0.6590230052578887	0.5643800858480956	0.6351566715578064	0.6782397027571078	0.6272072518698303	0.619529454569538	0.6197652097242922	0.8519407474493346	0.6068835030547566	0.6680608561169115	0.6235944285989943	0.5920289359654878	0.603804914183043	0.6119036348706478	0.759785401161154	0.646380353903829	0.7059868080409916	0.6286023913915197	0.6100644497161402	0.6471493608628524	0.6077426864766812	0.5991268875109295	0.6904340948782405	0.6386867021168531	0.7298526576143912	0.6957656730163747	0.5209806863969642	0.5825531784256873	0.6257756834600425	0.6039048825147996	0.6489660744657405	0.5829663786405079	0.5370573799005577	0.6034166225276771	0.6085337002730786	0.5452004617256794	0.5412297946202261	0.6549413597172536	0.8798013301693461	0.5979956246581292	0.6377526992530927	0.5705351096601621	0.6337621511832194	0.5787185769747993	0.6022063172462977	0.5800196939619646	0.587089265432746	0.6034141767015911	0.5196586264592148	0.4619475549485777	0.5478536603410841	0.6271483537737035	0.6799223983413031	0.660882645707684
Trial084	BRAIN_5_PATH_Dural ring.png	0.5326480813908357	0.6046447860021547	0.6107445755038637	0.5487724398941025	0.6129592936371334	0.7215774663325784	0.6564909048243024	0.7906706100398474	0.5850345476843842	0.6486109531300824	0.6155629548597219	0.5178000001369001	0.6524528438147019	0.6176929320555716	0.6033660458369323	0.6541747205691033	0.6883487169292789	0.6443144144312972	0.6820196012251223	0.6551798354959092	0.5655360856865886	0.6043878637846561	0.6312088709546476	0.6836076063310648	0.5834638786310722	0.6656486389368962	0.6536043607354008	0.6009942537205225	0.6163791604658769	0.5537276369123074	0.668744494754853	0.6232876681365114	0.6036933021732861	0.695365308418733	0.6537716386166018	0.6833406440626494	0.5790248398145074	0.5763489832680957	0.591953235994797	0.616678642608825	0.5875579857468267	0.6513909667373794	0.6050614827205055	0.5509840062396597	0.5615571119076032	0.5240189224891133	0.5893744362992698	0.7430241449850643	0.6050421734874075	0.6168786045158506	0.5048743385724807	0.5624773265632246	0.5364483997792693	0.5694380629964646	0.5749133931061985	0.522806222460904	0.6050887802732429	0.6674962051548772	0.41120675612022045	0.7936734799316175	0.7649302068103299	0.5725520675545902	0.8967008832063398
Trial087	BRAIN_6_PATH_Post surgical pit adenoma.png	0.5690275461018973	0.663916237399651	0.7099174366376956	0.5616256651444629	0.580770289706694	0.6510106690753482	0.6217973304271864	0.6774958519934684	0.5832993467588821	0.6341249353824733	0.5147573318433332	0.632064347747097	0.7614906936663082	0.5859057444886804	0.6519388620861885	0.6252135254030909	0.6969015411958441	0.567848406218336	0.6877687193392092	0.6238473410402257	0.5610575727897261	0.6079254499145796	0.6280762918295685	0.7251246018721423	0.6031138245162165	0.6925943592557227	0.6449466928129696	0.604248757984403	0.5533737086379805	0.6996783678965076	0.6665135500334763	0.6796318869883946	0.5802427378003967	0.7081703632756723	0.5186392949414641	0.5437080106862505	0.5940243371171052	0.5425069785477107	0.6136817078561249	0.6097779857937373	0.4683769962714628	0.5728920442670146	0.5450316942708554	0.5072095307648321	0.49195254157864116	0.500266324665529	0.6311120587938223	0.8307194823866418	0.5176197652346487	0.5903566936765087	0.5235524979527802	0.5726807644417343	0.6049958268596678	0.5814011484840502	0.5430310694359851	0.5888319445619334	0.5972614393146758	0.5934780332876346	0.6065760737386302	0.7254026186368273	0.6536940904814266	0.7187725917311013	0.7907783374366987
Trial090	BRAIN_7_PATH_Ax schwannoma.png	0.6137561060280959	0.6447404804181849	0.6713146851728836	0.5819421585951564	0.587509440743015	0.5818013385378161	0.5827814654255815	0.8592421180625026	0.5698127079107781	0.6579365223187736	0.561075356637276	0.6613408732989807	0.692518059122815	0.5741183024731481	0.6666834466030521	0.6431034036270477	0.6413458629246431	0.6182843540183502	0.6462643605325404	0.6258177683738406	0.5756883648997307	0.635917135220162	0.6199576432208208	0.7100209410763562	0.5802872885356963	0.7168777511802257	0.6831921678853016	0.5629785985146337	0.6357592110766711	0.5877030351857936	0.7485265746234442	0.7307350954614957	0.628801895446941	0.7129540504244372	0.6813272687049382	0.6369698342515244	0.6094281769500287	0.5700591551505583	0.6168910626454126	0.5758708650080638	0.6218795720692766	0.5925199356022294	0.671236321654627	0.5901483440271448	0.570903619863362	0.5721576326112908	0.677643787260347	0.7391600702481484	0.6165955446923536	0.5874016113343283	0.41506143532735335	0.5887526544576288	0.5736662307295126	0.5815601348323839	0.5673602167293278	0.6088796849276841	0.589739005364033	0.5590122840258928	0.5384611686823356	0.5768465953406756	0.8044059401185983	0.5971677493541188	0.7879907655198011
Trial093	BRAIN_8_PATH_Cor FLAIR 2 meningiomas.png	0.5230844733912942	0.6641170980354733	0.6490898065679642	0.5436119244164004	0.532336203661066	0.6484848539809864	0.5913071334019802	0.6851571876347363	0.5921481491472449	0.646402387832131	0.5724829592695029	0.6436440181506201	0.6158618975155077	0.5676552758921657	0.6119685655448545	0.6502253653071143	0.8266372223348362	0.598983731820917	0.6908123649707206	0.6266031028952112	0.5387561339308681	0.6594695703132852	0.6261110158432999	0.7241506983653051	0.6237621723902582	0.6600584761639378	0.6063346730051375	0.5610272205673386	0.5396676451896809	0.5559287063270487	0.7559143021511551	0.6588787296453679	0.6332964601657473	0.6829442976120541	0.5709031816907718	0.7144929570472294	0.5939469682490491	0.5952402965150919	0.5733433451277387	0.5395207702562058	0.5859181840371612	0.6978484475371295	0.7301754458321519	0.540434079850277	0.5563703609647571	0.5265515317383995	0.6483580257357133	0.7981810068229799	0.6618341562736662	0.5679743606282955	0.412217381180346	0.5331458871491269	0.5389265741135816	0.5222991735690363	0.5784643200813606	0.6584807603017497	0.6073656722283264	0.6086512844331907	0.4828194310623591	0.6075116753819209	0.47272461750441985	0.7429574924742046	0.3858431516168777
Trial105	BRAIN_12_PATH_GBM ax.png	0.5481619697491696	0.6234258196966763	0.6437751678223853	0.6152214752819746	0.5972864894804849	0.6837568437281946	0.6179303762736579	0.7124473258218073	0.6186886831790863	0.6502241760216637	0.5543931676087859	0.6447017083481863	0.6538319109380415	0.5813068581334928	0.47158254937629723	0.6512328310980308	0.7399198804150189	0.609503123197884	0.6504363566428789	0.6125030349956532	0.616136314168161	0.6281552700988898	0.5697510249360472	0.6800736061298794	0.6170030664791957	0.7268898763989986	0.6301457022944257	0.5350777900068892	0.4528482115112292	0.5745226930615683	0.6485575210180997	0.6683155804455626	0.5898687089222766	0.7115154232324294	0.6065462267266896	0.0	0.6307656251228904	0.5110447406084908	0.6449220814298823	0.6599801218855279	0.624705604215139	0.5770759884699816	0.6139061934303485	0.5944439421207546	0.5588837824621031	0.5724149044850522	0.7242391822688516	0.8107210218920697	0.6219484695382758	0.637325462020409	0.0	0.5539007299804413	0.6027642831368638	0.5416274519204008	0.5320449404779314	0.5357151132244605	0.666120726650692	0.589633162937762	0.5387098028307259	0.5964125893283024	0.5950599716888206	0.5148973101076006	0.0
Trial111	BRAIN_14_PATH_CS meningioma.png	0.5509372267317068	0.678398862335103	0.7187739370793393	0.5777175300469218	0.6152491411643285	0.5849224904704852	0.703842322030033	0.6993016199519585	0.593587588310735	0.6936354215335747	0.5071370668852725	0.5855954909859854	0.7987673486145925	0.6110483283910191	0.4207303849461487	0.6657886991071401	0.8042956474122209	0.5713794523344075	0.6670541795110917	0.5862190334972254	0.5590692198115872	0.6676993644392666	0.618288520092869	0.6915872049458724	0.6954047100395281	0.7291821092915913	0.6580276225064423	0.6303592479093638	0.6898588652803234	0.598244392648459	0.7366955975750324	0.6650181623720196	0.7898977671833054	0.6904023083301698	0.6441384195729337	0.0	0.5701331051830464	0.600492056163468	0.6016501237940549	0.6079962684155292	0.5748550185840172	0.5565469074608235	0.4921334644889291	0.5214787677027101	0.5199313633311214	0.5797635502656713	0.6451160254919931	0.708622162146832	0.6298833316409722	0.7060766123454082	0.5103952896207866	0.5642094574524874	0.5612535767334325	0.6185522299749887	0.5558353663788866	0.5410995141250388	0.5921199435494027	0.5991355208934451	0.4298853732931357	0.5433205779510152	0.5341411456398597	0.6963432484045858	0.0
Trial114	BRAIN_15_PATH_Temporal heamatoma T2.png	0.5516426979211637	0.6383891788244435	0.7242512451059047	0.5605662831376435	0.624794994806667	0.7253804615999937	0.5660989122299838	0.7879422339490284	0.5599711540978967	0.6336271924657562	0.5696165460209948	0.6132115047370325	0.6761471675142658	0.5962156764626314	0.6225667288565759	0.6230163337052133	0.8564316595699061	0.5808633105324462	0.6425325106156867	0.6215577446501813	0.5768532477926706	0.6013945491775614	0.5530451435707151	0.7336235209975299	0.7068135528099304	0.7268393234780646	0.661252771113463	0.6341020227026253	0.7152112606985193	0.6238602115571871	0.6252305062864569	0.5745766088305323	0.59965322746247	0.7294469921824815	0.6105921464732418	0.6055952557574201	0.6313703297143056	0.5623988355577454	0.60946551520383	0.6150702506583254	0.5494485704263968	0.5297062631004815	0.5918302963429951	0.4276631397015017	0.5596350461219822	0.605081713781466	0.624769900288844	0.7195224280675981	0.6410092702846005	0.6334323060355017	0.5569803433851864	0.558685233908346	0.5375716967109508	0.6149898170084294	0.4795580007741169	0.5669835913926408	0.571269036253873	0.6239004419797236	0.560703519751138	0.5986783060991209	0.6503583654842879	0.6571641770854502	0.8140899565885288
Trial117	BRAIN_16_PATH_Convexity Meningioma.png	0.5572478919487228	0.6820540285682634	0.6618083982439006	0.564127171701829	0.64403405146105	0.677083980771301	0.5454013395111083	0.6568281570350651	0.6049445280105965	0.6297283024895421	0.5711200516433945	0.6119963765807191	0.5899265343006452	0.5597903705837132	0.4488142641757383	0.6321020226914746	0.7956162607809604	0.4553944652658206	0.5056917223646951	0.5787644473131122	0.4820184049965615	0.6083958832933251	0.6452576114047059	0.6669230229280858	0.6021635986160035	0.709623571191436	0.638960991496655	0.5660986060903503	0.6199262116666638	0.5741636149345929	0.6689315559536034	0.6369815908382302	0.6067243532643011	0.6989093755322784	0.6853658793359515	0.7838476943022298	0.5244151092954666	0.6169459326385144	0.6069250748725548	0.5964086043756182	0.5129015715432452	0.5728409538575777	0.5650779496768765	0.6731516057281801	0.5197430997268406	0.5743266964763262	0.6516253487953736	0.7613736650172045	0.5808799570503986	0.6166979841264609	0.5722478226297262	0.5998633483021917	0.5502515030562898	0.5743263055339504	0.5705474862078844	0.5303172406790735	0.643460534952119	0.5228480140633697	0.5166779564618869	0.5669480509032333	0.6198906052421115	0.7302923193244438	0.6155925911962928
