		Cpilot1	Cpilot2	NMQ_1	NMQ_2	NMQ_3	NMQ_4	NMQ_5	NMQ_6	R01	R02	R03	R04	R05	R06	R07	R08 (1)	R09	R10	R11	R12	R13	R14	R15	R16	R17	R18	R20	R21	R22	R23	R24	R25	R26	R28	R29	R30	R31	C001	C002	C003	C004	C005	C006	C007	C008	C009	C10	C011	C012	C013	C014	C015	C016	C017	C018	C019	C020	C021	P22	c023	C024	C025	C026
Trial072	BRAIN_1_PATH_Meningioma ax.png	0.7437833682688088	0.6735115633624549	0.7290497724111211	0.5595128254596962	0.6604293202216035	0.7104309726645315	0.6836789519203044	0.6169321679464103	0.7317516245393806	0.560042251948505	0.6138284769914933	0.6482341911589389	0.65930671734762	0.5593602458214388	0.677616910193455	0.6084330482484908	0.9031906879646203	0.5776843012570216	0.5634162790476749	0.4849989041344987	0.4572449159889453	0.585178447356305	0.3928658577798429	0.4790675834469498	0.602586286933045	0.6896963846026787	0.7153952847951217	0.7560834484591749	0.4757778424376103	0.7673949061374074	0.7207010174654899	0.4042049383627596	0.7007041359884542	0.6886952411584919	0.4598528405617103	0.846909973158432	0.42742945917936154	0.5330354110692623	0.6225417431527098	0.7718287513658321	0.4317418394362275	0.32309637559761084	0.5271994136494039	0.388209791378615	0.5920761399942258	0.4742389842229233	0.5407465582648852	0.8575426471237039	0.43563670409329236	0.5997554156184223	0.0	0.5867421235305916	0.4496613218429871	0.4863990760437367	0.41364498354534246	0.641678925753046	0.6349172710438419	0.4400690267755974	0.5820109196812138	0.3370859866472924	0.4891694280777819	0.5707719510403002	0.9211011897448416
Trial075	BRAIN_2_PATH_Mes tumour.png	0.4944933898067866	0.6174842756647158	0.6087127980129503	0.3469339744360406	0.5137127482409864	0.6436743282163547	0.6256354492424567	0.7564229913581046	0.4404906135366301	0.5680385319172893	0.4414503921647716	0.6946721682814425	0.6381116077249792	0.5493893134370972	0.42869946496347106	0.47883138084030913	0.8096262540265937	0.5420824166818518	0.5862285664796426	0.4794187450098741	0.4283131343292258	0.5578257920652945	0.48820827763930336	0.7041607138692113	0.6167941821318468	0.7463827811188313	0.5941623784723569	0.41819366365548827	0.4067811839037397	0.5562595415232189	0.45956224904044957	0.7695973133451094	0.563096384093661	0.6814551608693229	0.5563530180124966	0.8396686708265898	0.537564049344857	0.506320357218794	0.6047520436575703	0.5970487073539545	0.5129637740914647	0.5173704223827734	0.5378506350385915	0.4684688744014376	0.6786180550404687	0.3257180702388772	0.5612656041323736	0.8772239336866587	0.5166573023694458	0.6241455173896066	0.0	0.7492551848426202	0.49740948840536153	0.4265742527604212	0.497076090260249	0.4368032355179061	0.5680874292298338	0.43624597634352136	0.36979576783124607	0.4133851377862521	0.6651626540942582	0.5597080400442102	0.6122024160781186
Trial084	BRAIN_5_PATH_Dural ring.png	0.4043849718947053	0.48776570931495195	0.5119749183918555	0.3958944115158439	0.6746428638956465	0.8073405461187343	0.7262552196298836	0.7197611964124436	0.37497282958604183	0.555694898995771	0.4484098761655917	0.6482369597526344	0.5466497454945334	0.4588250874538353	0.7146329172032082	0.5770392696793176	0.8794382092227067	0.5665589538470485	0.545820693351208	0.5653494238628767	0.5615655561777654	0.5976814098560843	0.47139394266986034	0.5931920677887863	0.4630718910351056	0.5631478496126794	0.4424625292224501	0.4862787801412766	0.4916601093612294	0.6143996798182999	0.6209377139522995	0.5801193027889644	0.5541831067664186	0.5946409760786319	0.5787300913188052	0.832617114004282	0.4811765184485301	0.4972542485585316	0.28392249008183434	0.8741765952719909	0.26013924044424996	0.4676212975042908	0.6841861213480073	0.513048961646251	0.47603429204265363	0.4786460012726749	0.5263524559751813	0.7490719312092267	0.46620955160970884	0.7132647838501104	0.0	0.4931574897765565	0.24523659710844992	0.4126545842325506	0.4485088764386966	0.5452153956744402	0.5713649249878109	0.6498000310766812	0.5781957280482725	0.8081524631953378	0.7844215419339097	0.3792304477049807	0.9037181923487373
Trial087	BRAIN_6_PATH_Post surgical pit adenoma.png	0.5198464034219307	0.573532216654579	0.8578539224132027	0.4047849533604955	0.7380608327234235	0.7121071781675161	0.7222143204636956	0.9124347673501054	0.5001454827621742	0.34951438360875486	0.3384658635721865	0.4801527589872476	0.7191420909355112	0.4722407800301211	0.5546206761765432	0.68058677199221	0.66167953230089	0.4906587746536433	0.630308714500263	0.5597308853623971	0.8625454482631435	0.45187178760479024	0.430925762911574	0.6887518405843069	0.8305639676086203	0.6775422989730476	0.45601232743749254	0.4457789911858263	0.3181069461967442	0.48645081235692167	0.6883610452023576	0.7162180432361868	0.6377946009038457	0.756822133865093	0.25902224061177176	0.0	0.5001387568996407	0.5205406560768037	0.511900940343354	0.6782517587417036	0.5648930450958607	0.44937154913331273	0.5897823974820142	0.41245023558475924	0.39929633028109845	0.25642397880226064	0.3667662804832662	0.724050701356663	0.4586958489978793	0.5352575119045837	0.0	0.5332100985345092	0.6026472851850205	0.4833743640862469	0.39940697600180103	0.4723608481701385	0.39844493502275347	0.48150994550203546	0.7850020941406799	0.4148250272019833	0.2911457808210575	0.5689385802416927	0.7834087814626722
Trial090	BRAIN_7_PATH_Ax schwannoma.png	0.7283132424389162	0.5445763009390915	0.8455340347146593	0.4864049692587547	0.4971202295242608	0.5820990770419223	0.7422818838316027	0.8446789368431762	0.37575040166602147	0.6056076331168146	0.43641608695935286	0.5880991237876503	0.6045183528882649	0.3858953628189736	0.8377523539432775	0.5468508266088681	0.7984080314806188	0.44922168255884665	0.754038590227842	0.46384472353433126	0.5222953066452718	0.5669712180435076	0.4778112004574116	0.653617969190962	0.5666413309707182	0.7696589224642435	0.6474326853172251	0.5220102355664329	0.4909898167690961	0.2640395591108826	0.6996041122715909	0.5974382669686021	0.5838348699204667	0.7072969111434201	0.7265400012746946	0.5528901601491659	0.49732826137861114	0.5894414495739774	0.5664953428658456	0.5130320301352846	0.5013470136566361	0.5682338031526202	0.4449681048371019	0.40061266823831904	0.4545072956241032	0.39766056711305386	0.5216919640331691	0.6201656711665395	0.4747492282468464	0.5774093783216421	0.0	0.46458886715375936	0.5892559165415169	0.47296096269911325	0.490255424226672	0.4969374336014376	0.4546048547144103	0.36110080108452663	0.39011821381241135	0.6585358416049364	0.8982462546262151	0.7179369599604035	0.750927108311185
Trial093	BRAIN_8_PATH_Cor FLAIR 2 meningiomas.png	0.3839599678145623	0.6675734398029477	0.5025214891456573	0.466000621155903	0.4257470551918079	0.8064122507066328	0.5945844966673025	0.6680540515115404	0.4019988981848833	0.5551631168636922	0.464427792926865	0.51670709352354	0.4815270909307244	0.4756536785817338	0.5556724386387925	0.5024919651725497	0.7679012368547078	0.4884111638850407	0.6363383924560037	0.4860356431498858	0.3606619524025905	0.6734787387921835	0.5038997105268873	0.6134700342035021	0.5784720467941524	0.5751961709443979	0.5491563540707899	0.540957087062268	0.4602887091169618	0.0	0.6913769732299614	0.5505356062657564	0.5124606768543642	0.6221902047944624	0.5348927500581258	0.7218775664512549	0.550818301276031	0.6372082395987901	0.5700765887621417	0.5006695232575745	0.49710210729872517	0.0	0.7992834311972234	0.5105910569193634	0.40026045422639445	0.5625171967224428	0.4897755740584693	0.8351271272981995	0.47837051222384375	0.6899833763204419	0.0	0.24852393922338095	0.4217007495845263	0.4708941708787557	0.4439344861348713	0.5443712400792325	0.5361482602484378	0.699360728765145	0.25110231464656874	0.40929004067786917	0.39874454548741073	0.788378112891474	0.0
Trial105	BRAIN_12_PATH_GBM ax.png	0.2926044494984759	0.5113649822625684	0.553332380040233	0.5391055852959691	0.46978502337408706	0.7810263109512576	0.4301903528585575	0.0	0.5454278498526154	0.5095461577996163	0.48209292377553653	0.5822267774488301	0.5312689362451312	0.5257518350891199	0.550232371743564	0.5098282203160995	0.739425693112107	0.5034555401981641	0.5060336651686218	0.47415018931833003	0.48424168459364125	0.5466546900470242	0.440604800757486	0.6631051980874588	0.4724484893258603	0.5980784475370768	0.4915962159513095	0.3950696955933461	0.2394145283047604	0.5799022813113027	0.5402405638832145	0.5681216027570861	0.46101054698191013	0.5927944701129113	0.446884692165912	0.0	0.5444028658457722	0.3344693039817578	0.6390166540590807	0.831000535828745	0.4745530358173498	0.3610601093105035	0.6288085839410765	0.45501126024586525	0.5242745561607474	0.5732698259983904	0.5182719137040658	0.7175393829984336	0.447730279605841	0.4612027599142411	0.0	0.452075703097592	0.5884347356195142	0.3052482621860397	0.4356769048896249	0.3558332708334304	0.5608904169497482	0.5077848664328988	0.3873718841658724	0.3410058928211058	0.38677028112341266	0.5638486985354293	0.0
Trial111	BRAIN_14_PATH_CS meningioma.png	0.45760711296000905	0.5333921185392336	0.6937416157595688	0.4265949488213098	0.573144938276712	0.6870330380462291	0.7612387718694674	0.6873427272867434	0.48015253474048836	0.7374145740527591	0.47228021212804394	0.5669744735488328	0.6265216461662235	0.6040959089107629	0.49117397317885786	0.6894398782467525	0.6809744892280091	0.40841820926570527	0.7998279624228898	0.0	0.5301372644377595	0.5223665104128571	0.48321404919652283	0.6855783642450809	0.7304042665639994	0.7247656783049076	0.47097505621391006	0.6336395919225204	0.4463211799511212	0.6769786631610222	0.6109034289882419	0.5465154148942245	0.804142694368266	0.6537013185861261	0.5485123758791842	0.0	0.6290688503649011	0.45883634873141466	0.5360459804356589	0.49333867116778657	0.5082416018680872	0.3205460364846777	0.48113147724488964	0.3795818444254593	0.2907770160637855	0.3732133514746955	0.529943517309762	0.697516159558592	0.48090769712369097	0.8724915482571335	0.0	0.4380815349436963	0.4362327426835924	0.45765031003667195	0.35923413704475504	0.0	0.5564082718630231	0.47816339047178247	0.625056279536224	0.36831032526308344	0.35398596871760174	0.5825765737152854	0.0
Trial114	BRAIN_15_PATH_Temporal heamatoma T2.png	0.4353893464679007	0.6060512505440416	0.7289415748878717	0.39344488201264305	0.6506796746006551	0.6629624228445404	0.5385052384724399	0.7831554358766846	0.4312159892846336	0.2817618845378643	0.33867648762731634	0.502616356180728	0.7824214187492656	0.40688471228869866	0.6065586523659119	0.524606348864677	0.826846846418737	0.4483730277513994	0.5664434422104132	0.4674051824758664	0.44462977073541604	0.6136487005097765	0.4869264327667663	0.6953311026456924	0.59797057976299	0.6617428222996027	0.7129044999232879	0.6296680300468317	0.5347415022220714	0.0	0.62353267971752	0.4165217894204079	0.6966588667969834	0.6891480062096769	0.5704853618581612	0.8920089725919377	0.6000310545491926	0.4817931724663226	0.44152394029351877	0.3537146920214821	0.6327616870709937	0.3680084521571823	0.8487920140459062	0.41467695498122886	0.3706373714472179	0.6072474938132233	0.5413020383621511	0.6138733950931942	0.49695131240287627	0.4849751086737455	0.0	0.3803721301940886	0.3290304055459851	0.4446629174579688	0.19657219739478576	0.4469594786194359	0.4711098086864352	0.46082178918706895	0.5378675124295665	0.6472530046965	0.4361651016690912	0.5759938622647262	0.0
Trial117	BRAIN_16_PATH_Convexity Meningioma.png	0.4027901102228385	0.6301932699392417	0.51221547788581	0.38109676939674275	0.5855378199339115	0.8203193961052989	0.3789281057532126	0.0	0.5067604278571946	0.5651066836931908	0.4939996685347484	0.5023227189640458	0.4443035314464955	0.5283787156545171	0.4640360411575341	0.5293295363046149	0.6625318916679114	0.48163668436767726	0.5217449602668489	0.4588811625232153	0.5113615037125883	0.5355573013981397	0.5881918112920732	0.5211665028290114	0.5210661444631148	0.5692830579471164	0.5032086423875268	0.4658167746892325	0.618766460211191	0.42277526647364855	0.6846590223252357	0.5599135407054624	0.46134967884888844	0.6078833551681793	0.6815169128253867	0.0	0.5203711247600794	0.5427791239501593	0.634121765901212	0.6645729142118861	0.45277746414813586	0.5142340325794607	0.38247983425600535	0.5034374589239147	0.263237579126847	0.497379339641016	0.504641401529735	0.7500016424999707	0.4966683752054834	0.4546989917591577	0.0	0.3594544779851486	0.4526963297862454	0.37366710662459063	0.4608660685724342	0.47830114341583335	0.5407882255804264	0.3000753787206046	0.4821459641865516	0.3804925664008319	0.4776164801353909	0.7399306008657479	0.0
