		Cpilot1	Cpilot2	NMQ_1	NMQ_2	NMQ_3	NMQ_4	NMQ_5	NMQ_6	R01	R02	R03	R04	R05	R06	R07	R08 (1)	R09	R10	R11	R12	R13	R14	R15	R16	R17	R18	R20	R21	R22	R23	R24	R25	R26	R28	R29	R30	R31	C001	C002	C003	C004	C005	C006	C007	C008	C009	C10	C011	C012	C013	C014	C015	C016	C017	C018	C019	C020	C021	P22	c023	C024	C025	C026
Trial072	BRAIN_1_PATH_Meningioma ax.png	0.6659877033910755	0.6475538118106445	0.5913149095148926	0.6630894925535825	0.6262171877508185	0.5742188893470274	0.5882899016021935	0.7136022529641135	0.6766953807785808	0.5568562266267276	0.6241000674600955	0.7789497815421801	0.5531644296433759	0.6040515711642369	0.6315638766177304	0.6830594145013399	0.7703533858749305	0.6171567909769254	0.5664626418731641	0.5473966807659214	0.6743043519463959	0.7219205776535346	0.6070394010824501	0.6156552990551344	0.6556345317646899	0.6317247170167356	0.625814926888611	0.511519024638919	0.6985928387218399	0.5424197117862786	0.6999206484364294	0.5656472799916573	0.660182955546798	0.6688046309323445	0.649771904571659	0.5492477564016544	0.5754262542826891	0.6035519719981289	0.6745083738300213	0.6089652443708427	0.6087442046917462	0.6930651663094719	0.6722684980972339	0.6208469564403969	0.627273596107176	0.6207726198032202	0.5942464672225227	0.8372162837765105	0.5984835034534964	0.6878987111034524	0.7220347514873284	0.5524022404662776	0.5934184524027423	0.6127063091368821	0.6762495834107464	0.6628764080077331	0.6382083121959917	0.6238933784845002	0.5886032436257105	0.6059533381752991	0.5402973934557614	0.49372797642133903	0.6675482019231739
Trial075	BRAIN_2_PATH_Mes tumour.png	0.5474516935637239	0.6392247209881581	0.6847718001924656	0.5569165998229528	0.5997641654968529	0.6426880459901992	0.6166824642975725	0.8350037034300725	0.6694827563373439	0.6811041151042536	0.64528341402093	0.6912028882142545	0.5673268182052831	0.6832583392561901	0.6043206344047921	0.6735123501439169	0.7452949792379068	0.6093808146512093	0.6841304174267322	0.6890283421075	0.7591041020300329	0.6225448756347768	0.7145268961360198	0.6339755624374606	0.5715262972237117	0.6093672706623259	0.506201119826879	0.6383895654134423	0.6945634265580377	0.723373399935941	0.5306381061230794	0.598721901660041	0.48839701531368507	0.5941651178744526	0.6404636158694679	0.6298119614021995	0.6006607346396095	0.6680851870057107	0.6791688567861911	0.6905764885296466	0.5942899898469861	0.7632798826460526	0.6446482953436811	0.5713696093868635	0.6702212682483781	0.5547992636996812	0.6097963879371406	0.8699278086865959	0.5727111722765348	0.7516437712533706	0.7433830367282672	0.6532726800239258	0.5972202014601745	0.6031644576763487	0.6627313666887118	0.6575828757619137	0.7626201968847733	0.6274369645476265	0.6530014661863868	0.6457281964412174	0.6872285423988884	0.5881147680475964	0.6043981932098591
Trial084	BRAIN_5_PATH_Dural ring.png	0.6226033823023548	0.6790041239181177	0.5908634932659028	0.6682743007881178	0.6369474027720902	0.7166524355038892	0.590377338484377	0.7422030154769877	0.6197725270342123	0.6447268520686814	0.531525684300674	0.5155325956190151	0.6969624593063112	0.5805636357593462	0.6406190042389055	0.7519839661001005	0.7258319517779591	0.6205560903737078	0.5723619889084873	0.6471402383560491	0.5959127287944487	0.6355827345362096	0.6370244914538838	0.7492220109823954	0.6060215730373267	0.560444177304286	0.5808717086119133	0.6302076325381649	0.6431389226553297	0.5668838626559884	0.6745211785544528	0.5670830041674723	0.54041427774164	0.6556536871542412	0.7353237141692893	0.6441809257750272	0.5655406985255821	0.5879349289883873	0.7344240987548282	0.6128135332036259	0.6584249787240879	0.7394147745859173	0.6361538503451017	0.5866426281710252	0.6205810706936633	0.731922927405856	0.6077956785491744	0.7703715281358259	0.6232405832326926	0.6103305069552094	0.7837792467339246	0.62886975672618	0.563475429026057	0.6314809708236135	0.5993800026279009	0.7196919346865664	0.6131589562683657	0.7470082380523005	0.5871477337973058	0.730950290577096	0.7600037256627051	0.5219583895934595	0.6420492778808617
Trial087	BRAIN_6_PATH_Post surgical pit adenoma.png	0.6999266424443078	0.5944109510815628	0.6794395001942259	0.6611876741788236	0.6452002248702181	0.6521303384309233	0.5953631456706815	0.6886746781061104	0.6222971278573708	0.6989476807653807	0.6245954541866658	0.6398028632056415	0.6918128310032023	0.5756512388716614	0.6459078838996803	0.6342761680495657	0.6624740451514858	0.5675910535348055	0.5634556865474314	0.6387158948367768	0.6098896802421477	0.6331827063578307	0.6146829742044794	0.680977175947079	0.6475347559314234	0.6380647309458211	0.5503684280724019	0.5686345591060812	0.7068623415342068	0.6749347679164943	0.6429787300548439	0.6765549332685885	0.5257055958091679	0.668945096105942	0.5634702561786781	0.4389924834221688	0.6215597896599397	0.5901529903327165	0.7628413941988247	0.7286128147457714	0.042422818051465944	0.5559765370174138	0.5849148668652874	0.4652771209923958	0.4668188532370522	0.589421549730676	0.5542264050046456	0.7765079439211207	0.551833452651163	0.6183890876663648	0.5409360558313785	0.7019685643196589	0.6389652607789671	0.6717324502504779	0.6799480365130126	0.5882655954451976	0.7746346722675537	0.6599354019700928	0.8454999643619963	0.648459069263764	0.7155545879692177	0.6636764310069111	0.5644356188851833
Trial090	BRAIN_7_PATH_Ax schwannoma.png	0.5752937455968307	0.5877673887115572	0.6318378763157362	0.7007980604264153	0.6774933204149904	0.6658174506364152	0.6651909851361384	0.7435211722657826	0.6249413441778751	0.7041843626324611	0.6614996429402444	0.7580771910619282	0.6053780891341868	0.5720427847766256	0.5729722042997447	0.6629930252850199	0.7456839583007744	0.7014616970154322	0.601278269777094	0.6346037685373659	0.582938869177108	0.5879110388757629	0.7014556988642611	0.7562092434474328	0.6545830510113617	0.6440641695633619	0.7126201261099964	0.6035506917331138	0.6501459245102982	0.5840743947085516	0.717851749404883	0.7197713838651016	0.5432023673442313	0.7078273266258079	0.6550877628492534	0.7018758312167442	0.6733208102080415	0.629776113570307	0.6932976641510824	0.6459880755562089	0.638947921727276	0.7349625986972539	0.8165739024411012	0.6601562518026634	0.6982868236954985	0.6071430616702331	0.5654470844649528	0.720287089137327	0.5971563418333267	0.6740455374973036	0.6273433950166571	0.6003926448136201	0.6420250522424396	0.5809655805225373	0.6809521521452383	0.8006559740527571	0.5794859081830301	0.6139192479636848	0.7483860643458613	0.4691016486806032	0.6215593968566302	0.5839483406787125	0.7425559530408836
Trial093	BRAIN_8_PATH_Cor FLAIR 2 meningiomas.png	0.618528828285645	0.6539057081029349	0.692758344157976	0.5596162225208325	0.5844291566770468	0.6749684233916688	0.6592057010509114	0.6553932774635305	0.550446794242845	0.7123120280051939	0.5969075538520259	0.6557034230122151	0.5518760473602135	0.6141255356446949	0.6558135629046888	0.5725645285488776	0.7597340718240136	0.6332339195597741	0.661260515095043	0.5978085269999633	0.6229590632034062	0.6774711104410349	0.639724456149268	0.8181161638807671	0.5944134496687526	0.6008968837553071	0.5375167355221299	0.5941850182816809	0.6201265808363625	0.6687533274414077	0.6777602649414086	0.6819524101280463	0.637605035483542	0.6186040324544725	0.5295890364139978	0.7524073818250256	0.5905244436044621	0.607191364727853	0.6529309537423091	0.6257680628724083	0.6119052717984932	0.8108448831373883	0.40164450160459075	0.473921349231202	0.6571989765015567	0.6267749116835171	0.5975203595510402	0.7099481523807345	0.6370132953970362	0.6968715296665143	0.7100987466433086	0.6648705362645277	0.5840550543876695	0.5528340231657434	0.7902997130021713	0.7185038390286131	0.5718985444424474	0.6536992313990848	0.594435687829919	0.6931620281936332	0.7486040638265317	0.7304833486873088	0.7347677548642235
Trial105	BRAIN_12_PATH_GBM ax.png	0.6919415872152649	0.6208219500978555	0.733489162576449	0.6258537551281594	0.6773253909577114	0.5744530207760393	0.6200873504581035	0.5902769887389244	0.6484768500821979	0.6716320608391386	0.6268618148098171	0.746070836189782	0.6372370602734069	0.5970996481158016	0.6425797250545935	0.6007374139444414	0.709733264213893	0.6740620103069358	0.6673847010136186	0.6822180516009435	0.6815541047338965	0.6593176329058371	0.6768169804274115	0.6999930779087871	0.5953745484811029	0.5949862868574504	0.7180617336814403	0.5746671551453397	0.38790989002625115	0.620827061055611	0.5132217828323211	0.6806848641523138	0.6525178556635451	0.5980405593093491	0.7587687592154037	0.0	0.5836005004144512	0.5604499872074334	0.5533129057729815	0.6904976668370122	0.6970950876255566	0.6689046737270858	0.6069407596711058	0.6873882017692329	0.6935097814049483	0.7872639933430124	0.7303542655632962	0.5890556568187663	0.6333028551827486	0.6708353656284507	1.1056920766394704	0.5619915245126192	0.6657264779788041	0.5739601397715924	0.7055782771759074	0.6274708636052339	0.6289482353594361	0.5979219841391038	0.7001395235169848	0.681350423269864	0.695133868200444	0.5140461776286934	0.0
Trial111	BRAIN_14_PATH_CS meningioma.png	0.6007048010739591	0.6178810083882403	0.6613196729941228	0.652522619685845	0.6007783922741153	0.5288420313558937	0.6620010168275989	0.7933591811311996	0.6504504564553512	0.7405985928931555	0.5747874224239596	0.6128565372636204	0.6912593005219065	0.5727379957200804	0.6562613835506768	0.6785155579382757	0.80195877979619	0.5731662907789882	0.7591580085380116	0.688853465151781	0.6228795405666684	0.7182220306609186	0.6594382786060625	0.6508776640676136	0.6192879266398867	0.5372468226782576	0.6695721639129879	0.6228783997206114	0.7358107270812673	0.6126888018663746	0.6992071931458813	0.6703908803439653	0.6532047853806655	0.502635755035278	0.7154087112606395	0.24593102299368838	0.5725603934861042	0.6181031256303819	0.7041936887365373	0.6566757926153749	0.6661439321536088	0.6364824180661516	0.5100346655680239	0.6117321711268273	0.6954054575414238	0.6485436631985704	0.6680190349117114	0.7403316252498725	0.5502771450818326	0.6607977929513128	0.6316098347261606	0.6295598299722304	0.6171641655320319	0.6926699617218665	0.7239362372598397	0.6118073882105578	0.6865605152266288	0.6234452444992072	0.6648256137275355	0.6188402174966035	0.5846271466531824	0.6459417670148901	0.09704400538240558
Trial114	BRAIN_15_PATH_Temporal heamatoma T2.png	0.625745083137453	0.658995511122038	0.6419528054012872	0.7192698509056152	0.7218771340109124	0.7177785635446539	0.6442444561786481	0.7651744528291402	0.6014600774042966	0.6950949077021874	0.6713336008962476	0.6759753998965315	0.5688060701095425	0.6047944445678051	0.5652438053959128	0.5744199224618052	0.7293364713305793	0.6232139011967797	0.6064319991269238	0.6327888132428906	0.6229385161966892	0.5589071585582333	0.33131083913640175	0.6120608931495067	0.6564093752924325	0.6959180635572073	0.6569820682704364	0.7011500726074565	0.6438037911824306	0.7584396006296451	0.5912727682440668	0.659633702564857	0.5377111828755086	0.7735386974073276	0.7423867094576664	0.6100649867694596	0.5294762410150153	0.6274793039266049	0.7112533927465795	0.6014414707196485	0.5350418173529369	0.5918838726581834	0.6820585011312357	0.5316957552004243	0.6791186247596406	0.523105591584896	0.5760315009242482	0.7303431693639293	0.59093253506681	0.7475066934556792	0.5253916706106193	0.5703175890617873	0.5736010019834832	0.6444263445999063	0.5640869108024138	0.5876958433593801	0.6590726627905185	0.6161211408521173	0.6870974228386846	0.6348903709516827	0.6486809542301214	0.6345615584978047	0.5766475080755723
Trial117	BRAIN_16_PATH_Convexity Meningioma.png	0.6141421837029358	0.8043710899301625	0.7725838651530698	0.706855648820769	0.6360779325793893	0.6492206823281444	0.6607222799372897	0.6330144018481497	0.688493052222122	0.5898514926298546	0.6290999303685315	0.6973419065573961	0.6548840240602329	0.6271620536778787	0.7145681318683542	0.6416732695196237	0.814088026421272	0.5954298852989033	0.70198706708263	0.5738389207803789	0.6663324348442626	0.7518038489879197	0.5980531867848522	0.6694262440443746	0.6092911924885286	0.6674488383784533	0.6299945813665621	0.6385515335513887	0.6681967990417279	0.6859329605458975	0.6510425174838954	0.7595389221133229	0.705201096768464	0.627099694607478	0.613132269126141	0.8310579167236584	0.5499962552534241	0.64406843093288	0.8419034875934168	0.6144189823967908	0.5545514138688649	0.5468234395098114	0.5502243856891189	0.6833654868678405	0.5980244487145506	0.5275067410013662	0.7008009819041757	0.7455743306337618	0.5863713955620207	0.7006588055778233	0.5393754688555432	0.6811819327597843	0.6799343849364706	0.6300784318480174	0.5800071377789889	0.6291779284537242	0.7102296061157946	0.579300656283891	0.7535270158132571	0.6410384373686255	0.7152909818111481	0.6545306950395422	0.808363500089464
