		Cpilot1	Cpilot2	NMQ_1	NMQ_2	NMQ_3	NMQ_4	NMQ_5	NMQ_6	R01	R02	R03	R04	R05	R06	R07	R08 (1)	R09	R10	R11	R12	R13	R14	R15	R16	R17	R18	R20	R21	R22	R23	R24	R25	R26	R28	R29	R30	R31	C001	C002	C003	C004	C005	C006	C007	C008	C009	C10	C011	C012	C013	C014	C015	C016	C017	C018	C019	C020	C021	P22	c023	C024	C025	C026
Trial072	BRAIN_1_PATH_Meningioma ax.png	1.4098898686763626	1.319663547908046	1.3624512319450643	1.1400505572983068	1.280649737055614	1.3737277349243544	1.3737275124259845	1.3670804399607919	1.3590047227806183	1.2179867032766594	1.3725788552056726	1.2183878274611664	1.2545529747602304	1.317500705539166	1.1617588532764997	1.213009109523679	1.4884839933298946	1.2242153130997742	1.1907143126863955	1.1844236385654903	1.1464905991773615	1.2177693412404922	1.1482342478278655	1.3431019756383575	1.2814186362464437	1.3381817095266795	1.3824102237263842	1.4290858513450235	1.1434885097902543	1.3288215532941015	1.2596695208375728	1.1660712280610792	1.3634327035773122	1.37851564147969	1.305937452656632	1.4692991235084811	1.16790056695966	1.2530149789927585	1.2899184203639942	1.2813931004881294	1.113303446319332	1.2067318535187004	1.1850116320854611	1.1953181958919021	1.185643690430758	1.168419481218724	1.1909607000295805	1.4502628853555921	1.2073448768816892	1.3958681142726057	1.0	1.4164231802115086	1.1208754924846005	1.2401463979881038	1.2675050124697496	1.208908220404575	1.2540058211715226	1.1519401742632338	1.4114707493993854	1.3068133124814887	1.253496934005739	1.1771259717378835	1.5654568312312303
Trial075	BRAIN_2_PATH_Mes tumour.png	1.221253390186254	1.214635341942358	1.2451011351857926	1.1170651666839104	1.330342495505449	1.2648098494663045	1.4632898083864505	1.4631886453422267	1.1964286607455432	1.2333116222362057	1.3356125155092717	1.2828894001002085	1.3913182523359393	1.1945495426814141	1.2618326472755093	1.3579345596374852	1.4262484905494908	1.2090406604023098	1.2501065124540203	1.1569964226955944	1.23702027335691	1.2631040151459336	1.1594579915864225	1.389937830223226	1.2398933961710312	1.3891905352666807	1.227983447529579	1.164425132653901	1.1106593511877927	1.2213257026157454	1.2226800813798608	1.323220161038827	1.2133437303295802	1.3279051352870956	1.2463517414667304	1.3709939843519712	1.124791550374651	1.1273285520173844	1.2160064069999195	1.1859875418162464	1.1191616450478787	1.2018061913530558	1.2746790520252174	1.1726086984942647	1.3052622133200207	1.1316280182510392	1.251757636801793	1.7173755568731284	1.2309231386553003	1.3190610318874338	1.0	1.3983295102616433	1.2054041301117917	1.2367817835107666	1.1612280747966919	1.1652257293432349	1.1467603889218139	1.1926393209187856	1.1099363479757138	1.2057547771900903	1.212996868731973	1.2874246876111066	1.2292893193482597
Trial084	BRAIN_5_PATH_Dural ring.png	1.2325846449683007	1.1540288081018493	1.1299201143243276	1.1132003592405773	1.290161272909683	1.4584635498133125	1.4337533835115235	1.6159148970368056	1.0744684717071766	1.0839420902892396	1.3078572636299592	1.2488160173985752	1.2865330692059898	1.2386021258910462	1.355701149548306	1.173556291923722	1.4453503467151219	1.1661817137163533	1.1437241438160886	1.1378346500161425	1.1777026599698248	1.1156629605914024	1.1236665221919842	1.2082854229357793	1.1617389095298443	1.1818522097854236	1.1794353668350006	1.1973401215065358	1.1154544196214005	1.164192955823057	1.1814874311663304	1.2484866940953159	1.1944158396764866	1.2387228231055238	1.235240363540086	1.332735449701732	1.1105858475480979	1.3123703435439091	1.1149360885830872	1.1997459155127816	1.128694427338183	1.3174688418845666	1.3531444913869362	1.1865119768171655	1.2246021608878965	1.287194836731818	1.1441895985645274	1.3644544068279107	1.2527742275827451	1.4874830763268454	1.0	1.23537090257857	1.1056505616495587	1.1507985865678128	1.172120802649154	1.1634074309917632	1.1887988437176786	1.2934815802876922	1.1272186014122678	1.5754624205699026	1.5103311751144144	1.1882050366738668	1.6123318078500426
Trial087	BRAIN_6_PATH_Post surgical pit adenoma.png	1.155556720307692	1.1471199235751717	1.3658527127073397	1.1494270603501784	1.4586238062574421	1.3352941642959564	1.349212321914425	1.6252177558598857	1.1100212370031186	1.178052572678616	1.292492413847355	1.1883054898052459	1.4707871783236603	1.1502045237716707	1.184861647264146	1.204731583001017	1.136514540285017	1.3091546774910725	1.3286673122954418	1.1897966130455406	1.545052792311682	1.274866696936235	1.2038177865069597	1.3172645960545486	1.4715073459052164	1.192379041991128	1.2982607404186202	1.2530384407015955	1.1110570610078785	1.1802566737705122	1.2451931510564558	1.2792428918695677	1.301213494242902	1.4962925183014204	1.153813160047418	1.0	1.2329497467285158	1.215657602859732	1.226359116679013	1.211406591454911	1.0959311415192858	1.1412785806561327	1.2984536664088384	1.135353333401788	1.2856466244078755	1.1014650431011535	1.117907129596269	1.4003268954021957	1.152534926363933	1.272647161986786	1.1158079327695767	1.2164934092560904	1.1309360737077936	1.1732152154622504	1.1634399661868517	1.17246895557643	1.116801704663589	1.2045234541088148	1.4979009845760909	1.4420871952345988	1.2034518660602957	1.2699989765438642	1.4433941808531259
Trial090	BRAIN_7_PATH_Ax schwannoma.png	1.362947755823943	1.1252081696412475	1.3700512836676089	1.2770907077460216	1.2249802765722766	1.3688292414618	1.2839344970224804	1.4393178402533136	1.1419808682568133	1.2447342745585048	1.2898091969585617	1.2531888237137827	1.3862514736478637	1.1872477620414255	1.4492697052162815	1.2101408436203758	1.2358110660966506	1.197500020845225	1.38428720839571	1.167308351694662	1.2901879256423392	1.1562776947047937	1.1586949831956488	1.3395286709619942	1.373846364851082	1.4835947589360263	1.2757618630718661	1.2498856820286859	1.118539633920717	1.2683621231714826	1.2923456171505538	1.220633765950665	1.3392734017060859	1.3380203123025722	1.3882897446399711	1.3282147977955734	1.226098697984185	1.2257606766861426	1.3878288706711415	1.139249443257112	1.124871223589962	1.3166001614693001	1.182159545830287	1.1424348320894435	1.1933780002171182	1.1806508140764278	1.1394066866814627	1.1761781703092804	1.1377889539812078	1.2878524292716766	1.0418971785961706	1.1114269919830504	1.2438586319321423	1.1852373130670653	1.154297542277636	1.1210211447699656	1.1972915752115052	1.1794856903229407	1.1190597338183008	1.4771783298245456	1.4338903182741116	1.324486775836742	1.310867056705363
Trial093	BRAIN_8_PATH_Cor FLAIR 2 meningiomas.png	1.2069477877036823	1.171517474883712	1.164340959960087	1.178783344246444	1.2665372912298474	1.2988105609654759	1.225799619174966	1.3167778967463843	1.1145939666232068	1.1381672919968457	1.2333697565230541	1.176790624957812	1.199791519171874	1.1647942695987104	1.2376195015583342	1.2279595340610756	1.2412902828056303	1.1591676808728792	1.2760195180440361	1.1760179536218316	1.0922908765286647	1.3703435846278493	1.1718451726782873	1.198990299498843	1.3471908204150032	1.2259465410262165	1.1499181554750042	1.2327042727723203	1.21146407278595	1.0965797315762138	1.2284203024994065	1.1617803907187112	1.2138757108795781	1.3329951654840533	1.3902547874625626	1.5012088301676074	1.1902877104649632	1.290637423481442	1.284041429286438	1.1554762708447714	1.172252343758017	1.0	1.4876842142473177	1.4055397707090633	1.1598083474605518	1.1268569060419862	1.1738579023922013	1.51574840166784	1.1001144375563745	1.3418555018267972	1.2244574047123327	1.1617108476933744	1.1628279109817692	1.1835590641078064	1.1779784032036344	1.159137771657693	1.2175082927789398	1.3608179389627868	1.0645935995266549	1.3421963323051358	1.3417633619313245	1.2980756429592146	1.6210842380534438
Trial105	BRAIN_12_PATH_GBM ax.png	1.1574891480691432	1.2114163515954133	1.2179406698736224	1.1501676216061612	1.1928742530204175	1.4219580807086454	1.272533133787576	1.270608443181112	1.177863992580972	1.2159534929173639	1.216154258251232	1.2021922097387807	1.1809199591982724	1.182757257335909	1.2637755869314806	1.2397663850659322	1.3128839504715446	1.1080328895289697	1.2524529579114412	1.1658793357031734	1.2650551673461903	1.1980800588393339	1.1012529365386632	1.3601414695125413	1.210752288425133	1.3164778159474855	1.1411220149323558	1.1969107455918866	1.0434878475825036	1.3290328150772486	1.1462030791770084	1.1296916243424184	1.171389930554364	1.2127070464012253	1.1343922495048862	1.0	1.1787597023050158	1.1369999596596436	1.3068586805621558	1.2474012598945408	1.1040755762801404	1.1571729648766795	1.1996699595148645	1.1125372430541878	1.1866752575260437	1.2043356648482364	1.1373769178094197	1.3952461125990487	1.2309859867491348	1.1561636958805457	1.067394890942064	1.1708707625245385	1.1750996601581296	1.1474172052262162	1.1997279797153337	1.1110109280505804	1.2271501348976503	1.1679394325990138	1.1158941568076233	1.2787526309128399	1.3089377447454182	1.1926509043978586	1.177575134742986
Trial111	BRAIN_14_PATH_CS meningioma.png	1.153965067299727	1.2365290973520382	1.345171737048665	1.2095328570522215	1.272453471813811	1.41374597275355	1.366910432879666	1.470730193930104	1.1278372033320754	1.4401657890811594	1.323113509169081	1.1774890143338068	1.3082415832083667	1.2266532655703442	1.2494112749872133	1.4440039596398015	1.2832670893522655	1.1507558782540221	1.4042331360752243	1.1073920903447974	1.3329344875016704	1.2844002997908583	1.162753832653005	1.2949304407752116	1.340616368202235	1.4763445479782167	1.2072146424067272	1.2388376119411413	1.0979344581324209	1.4028067525015435	1.150764401890371	1.1769068061134123	1.525576705595031	1.4040073338521588	1.1878142414107196	1.0	1.4163314876659099	1.2440656479303125	1.1830692212242075	1.2980666780109553	1.1306977625696322	1.1349426587761022	1.2834928432434172	1.2483104167031422	1.2331652962265873	1.1295800491647086	1.2449690380149223	1.4885521535050334	1.1570490369879673	1.4768285244473442	1.3766264073888683	1.2369748675736953	1.0918523455050508	1.2004913998658413	1.1484779669381118	1.1069610751545775	1.1361307446718463	1.298232390882301	1.2478760087844685	1.209750641106935	1.093894115929744	1.1479056999559472	1.1105035894896171
Trial114	BRAIN_15_PATH_Temporal heamatoma T2.png	1.2873907481604216	1.299006234796523	1.3292683859518175	1.1998214098486104	1.2390744220488639	1.2837273268999139	1.2330904204210775	1.460054929571941	1.2098097056565933	1.174593905211288	1.3095687834086056	1.3305086718688275	1.3047241353088346	1.2022672328045894	1.2944623274110498	1.2876217499060028	1.323842162841763	1.271785545412541	1.3434854399738954	1.1801099428883854	1.2570858965698417	1.253651105655604	1.2276661036176453	1.4176163252644036	1.3317958493150082	1.371426292586387	1.4431972022570678	1.376228852538171	1.1972746940942633	1.128023974078958	1.3003102018548156	1.157037005620046	1.3575065399085193	1.46208365806854	1.2233459876822115	1.551555770157555	1.3184305453132963	1.1685391156311387	1.1641231645220602	1.140575988421166	1.2375000286507225	1.1996534146046485	1.5340505939285654	1.1594448593364128	1.07843682331608	1.2709910316670585	1.1840562707045592	1.2462258143684797	1.2251112693698325	1.2162059857962708	1.0711129990514792	1.1436088728950782	1.0858791884819703	1.151791328332211	1.1372797197690885	1.2126929484463755	1.145024783742842	1.2164237231819368	1.3343279749269306	1.2966917956882225	1.1983650938759742	1.1330494322333897	1.0732557330569028
Trial117	BRAIN_16_PATH_Convexity Meningioma.png	1.2221865662583582	1.2530423300806675	1.1263219196341028	1.1407106053632772	1.254794365761919	1.4424354351842834	1.119870708827151	1.3489203939007988	1.1093964585862106	1.2281486576133116	1.1568873256066738	1.1675974375718814	1.1677639742478867	1.2301923106100983	1.1548396590682692	1.1793048884871598	1.2937097895415783	1.2008180046403614	1.0375691339218878	1.1601501247213928	1.192734642091852	1.1645897706662052	1.205595101065813	1.2502376042589294	1.2711972549467345	1.3198256648777957	1.2861641462432345	1.169425797290738	1.2249775582992113	1.17347946962816	1.1856067896230058	1.0998440844077035	1.1259813061534198	1.214080075044671	1.3614238114409059	1.0	1.1788186644930978	1.2300001042154256	1.3263137105884375	1.1468565848369194	1.1866253883031699	1.1353054244153156	1.220957592705973	1.1529431081448605	1.1073130116116232	1.2327486294367296	1.1172761649255254	1.4169660535914075	1.1995310134251156	1.1750135460726503	1.0	1.2106483625227162	1.170041402354805	1.1080578177972467	1.1764554679649213	1.1614206382885095	1.183951306557432	1.2960253069107432	1.1518794045618397	1.1496052723882602	1.2167341330436117	1.3922068038247741	1.2095957082770505
